language,repository,year,interval,NLOC,CCN
c++,caffe,2015,4,39900,2.3
c++,caffe,2015,8,44695,2.3
c++,caffe,2015,12,46743,2.4
c++,caffe,2016,4,48545,2.4
c++,caffe,2016,8,49827,2.4
c++,caffe,2016,12,49957,2.4
c++,caffe,2017,4,50292,2.4
c++,caffe,2017,8,50292,2.4
c++,caffe,2017,12,50354,2.4
c++,caffe,2018,4,53699,2.4
c++,caffe,2018,8,53812,2.4
c++,caffe,2018,12,53812,2.4
c++,caffe,2019,4,53812,2.4
c++,caffe,2019,8,53812,2.4
c++,caffe,2019,12,53812,2.4
c++,Catch2,2015,4,4339,1.4
c++,Catch2,2015,8,4417,1.4
c++,Catch2,2015,12,4701,1.4
c++,Catch2,2016,4,4736,1.4
c++,Catch2,2016,8,4736,1.4
c++,Catch2,2016,12,4743,1.4
c++,Catch2,2017,4,4932,1.4
c++,Catch2,2017,8,8886,1.7
c++,Catch2,2017,12,10855,1.6
c++,Catch2,2018,4,11461,1.6
c++,Catch2,2018,8,11868,1.6
c++,Catch2,2018,12,12388,1.6
c++,Catch2,2019,4,13072,1.6
c++,Catch2,2019,8,14199,1.6
c++,Catch2,2019,12,14714,1.6
c++,Chaste,2015,4,110698,3.6
c++,Chaste,2015,8,112644,3.6
c++,Chaste,2015,12,113238,3.5
c++,Chaste,2016,4,114169,3.5
c++,Chaste,2016,8,116269,3.4
c++,Chaste,2016,12,115580,3.4
c++,Chaste,2017,4,115851,3.4
c++,Chaste,2017,8,116169,3.4
c++,Chaste,2017,12,116242,3.4
c++,Chaste,2018,4,116319,3.4
c++,Chaste,2018,8,116324,3.4
c++,Chaste,2018,12,116328,3.4
c++,Chaste,2019,4,116335,3.4
c++,Chaste,2019,8,116351,3.4
c++,Chaste,2019,12,116331,3.4
c++,cJSON,2015,4,60,0.0
c++,cJSON,2015,8,60,0.0
c++,cJSON,2015,12,61,0.0
c++,cJSON,2016,4,61,0.0
c++,cJSON,2016,8,63,0.0
c++,cJSON,2016,12,68,0.0
c++,cJSON,2017,4,356,1.0
c++,cJSON,2017,8,367,1.0
c++,cJSON,2017,12,462,1.9
c++,cJSON,2018,4,465,1.9
c++,cJSON,2018,8,465,1.9
c++,cJSON,2018,12,465,1.9
c++,cJSON,2019,4,465,1.9
c++,cJSON,2019,8,465,1.9
c++,cJSON,2019,12,465,1.9
c++,ClickHouse,2015,4,124661,2.7
c++,ClickHouse,2015,8,145208,2.7
c++,ClickHouse,2015,12,166786,2.7
c++,ClickHouse,2016,4,386831,2.4
c++,ClickHouse,2016,8,406789,2.4
c++,ClickHouse,2016,12,412281,2.4
c++,ClickHouse,2017,4,441006,2.4
c++,ClickHouse,2017,8,456356,2.4
c++,ClickHouse,2017,12,232718,2.9
c++,ClickHouse,2018,4,216167,2.8
c++,ClickHouse,2018,8,238379,2.8
c++,ClickHouse,2018,12,254016,2.8
c++,ClickHouse,2019,4,287362,2.7
c++,ClickHouse,2019,8,409985,2.7
c++,ClickHouse,2019,12,419525,2.8
c++,cm-compiler,2015,4,703408,3.0
c++,cm-compiler,2015,8,739065,3.0
c++,cm-compiler,2015,12,764249,3.0
c++,cm-compiler,2016,4,806371,3.0
c++,cm-compiler,2016,8,858045,3.0
c++,cm-compiler,2016,12,895130,3.0
c++,cm-compiler,2017,4,929549,3.1
c++,cm-compiler,2017,8,954362,3.1
c++,cm-compiler,2017,12,983658,3.1
c++,cm-compiler,2018,4,1011410,3.0
c++,cm-compiler,2018,8,1043322,3.0
c++,cm-compiler,2018,12,1061624,3.0
c++,cm-compiler,2019,4,2343979,3.7
c++,cm-compiler,2019,8,2352632,3.7
c++,cm-compiler,2019,12,2361162,3.7
c++,cppcheck,2015,4,130571,4.2
c++,cppcheck,2015,8,134337,4.0
c++,cppcheck,2015,12,137280,3.7
c++,cppcheck,2016,4,137067,3.7
c++,cppcheck,2016,8,139098,3.8
c++,cppcheck,2016,12,141980,3.8
c++,cppcheck,2017,4,144935,4.0
c++,cppcheck,2017,8,148256,4.0
c++,cppcheck,2017,12,152217,4.0
c++,cppcheck,2018,4,196055,2.6
c++,cppcheck,2018,8,161568,4.4
c++,cppcheck,2018,12,168078,4.4
c++,cppcheck,2019,4,170454,4.5
c++,cppcheck,2019,8,179173,4.5
c++,cppcheck,2019,12,187199,4.4
c++,cryptopp,2015,4,51016,2.2
c++,cryptopp,2015,8,52193,2.3
c++,cryptopp,2015,12,53939,2.2
c++,cryptopp,2016,4,58237,2.3
c++,cryptopp,2016,8,61181,2.3
c++,cryptopp,2016,12,65311,2.4
c++,cryptopp,2017,4,66138,2.4
c++,cryptopp,2017,8,70209,2.5
c++,cryptopp,2017,12,74937,2.5
c++,cryptopp,2018,4,77583,2.5
c++,cryptopp,2018,8,81279,2.5
c++,cryptopp,2018,12,88486,2.5
c++,cryptopp,2019,4,92983,2.5
